"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of all people under 18 between 2013-2017."
"36103990100, NY","36103990100","=""36103990100""","N/A"
"36117990100, NY","36117990100","=""36117990100""","N/A"
"36043011502, NY","36043011502","=""36043011502""","8.44"
"36041950500, NY","36041950500","=""36041950500""","7.58"
"36055990000, NY","36055990000","=""36055990000""","N/A"
"36089492500, NY","36089492500","=""36089492500""","16.78"
"36063990000, NY","36063990000","=""36063990000""","N/A"
"36031961400, NY","36031961400","=""36031961400""","13.22"
"36045990001, NY","36045990001","=""36045990001""","N/A"
"36041950100, NY","36041950100","=""36041950100""","12.24"
"36073990000, NY","36073990000","=""36073990000""","N/A"
"36013990000, NY","36013990000","=""36013990000""","N/A"
"36033950700, NY","36033950700","=""36033950700""","19.67"
"36049950700, NY","36049950700","=""36049950700""","23.54"
"36089492300, NY","36089492300","=""36089492300""","19.42"
"36031960900, NY","36031960900","=""36031960900""","15.17"
"36041950400, NY","36041950400","=""36041950400""","17.26"
"36075990000, NY","36075990000","=""36075990000""","N/A"
"36089492600, NY","36089492600","=""36089492600""","22.21"
"36041950300, NY","36041950300","=""36041950300""","14.98"
"36033950800, NY","36033950800","=""36033950800""","10.64"
"36019101800, NY","36019101800","=""36019101800""","22.95"
"36033950600, NY","36033950600","=""36033950600""","18.81"
"36019100400, NY","36019100400","=""36019100400""","10.99"
"36089492400, NY","36089492400","=""36089492400""","31.40"
"36101962000, NY","36101962000","=""36101962000""","30.11"
"36049950100, NY","36049950100","=""36049950100""","23.24"
"36075020100, NY","36075020100","=""36075020100""","25.74"
"36017970200, NY","36017970200","=""36017970200""","22.42"
"36113074000, NY","36113074000","=""36113074000""","16.58"
"36111950900, NY","36111950900","=""36111950900""","15.65"
"36019100300, NY","36019100300","=""36019100300""","18.62"
"36089490700, NY","36089490700","=""36089490700""","27.24"
"36025970500, NY","36025970500","=""36025970500""","17.97"
"36089491800, NY","36089491800","=""36089491800""","30.08"
"36049950200, NY","36049950200","=""36049950200""","24.92"
