"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of all people under 18 between 2013-2017."
"37095920100, NC","37095920100","=""37095920100""","20.65"
"37055990200, NC","37055990200","=""37055990200""","N/A"
"37177960100, NC","37177960100","=""37177960100""","14.21"
"37095990200, NC","37095990200","=""37095990200""","N/A"
"37055970501, NC","37055970501","=""37055970501""","22.23"
"37031970102, NC","37031970102","=""37031970102""","18.73"
"37173980200, NC","37173980200","=""37173980200""","N/A"
"37017950100, NC","37017950100","=""37017950100""","22.05"
"37055990100, NC","37055990100","=""37055990100""","N/A"
"37031990100, NC","37031990100","=""37031990100""","N/A"
"37015960400, NC","37015960400","=""37015960400""","16.30"
"37141920204, NC","37141920204","=""37141920204""","17.39"
"37031990200, NC","37031990200","=""37031990200""","N/A"
"37015960300, NC","37015960300","=""37015960300""","17.38"
"37047931300, NC","37047931300","=""37047931300""","26.72"
"37013930100, NC","37013930100","=""37013930100""","23.76"
"37187950300, NC","37187950300","=""37187950300""","17.81"
"37131920300, NC","37131920300","=""37131920300""","15.77"
"37017950600, NC","37017950600","=""37017950600""","22.14"
"37163971000, NC","37163971000","=""37163971000""","21.59"
"37143920100, NC","37143920100","=""37143920100""","18.07"
"37015960100, NC","37015960100","=""37015960100""","16.58"
"37193960900, NC","37193960900","=""37193960900""","17.59"
"37153970200, NC","37153970200","=""37153970200""","22.72"
"37019020602, NC","37019020602","=""37019020602""","19.27"
"37187950100, NC","37187950100","=""37187950100""","21.50"
"37131920100, NC","37131920100","=""37131920100""","21.06"
"37113970200, NC","37113970200","=""37113970200""","19.21"
"37103920300, NC","37103920300","=""37103920300""","20.13"
"37013930800, NC","37013930800","=""37013930800""","15.96"
"37049960300, NC","37049960300","=""37049960300""","21.99"
"37161960100, NC","37161960100","=""37161960100""","19.80"
"37165010600, NC","37165010600","=""37165010600""","23.07"
"37049960200, NC","37049960200","=""37049960200""","22.71"
"37043950100, NC","37043950100","=""37043950100""","14.76"
"37073970100, NC","37073970100","=""37073970100""","21.98"
"37029950102, NC","37029950102","=""37029950102""","23.96"
"37037020200, NC","37037020200","=""37037020200""","21.25"
"37023020201, NC","37023020201","=""37023020201""","20.17"
"37007920600, NC","37007920600","=""37007920600""","23.73"
"37163970100, NC","37163970100","=""37163970100""","24.14"
"37029950101, NC","37029950101","=""37029950101""","23.32"
"37137950102, NC","37137950102","=""37137950102""","17.27"
"37019990100, NC","37019990100","=""37019990100""","N/A"
"37083931100, NC","37083931100","=""37083931100""","17.59"
"37103920200, NC","37103920200","=""37103920200""","22.38"
"37103920100, NC","37103920100","=""37103920100""","16.64"
"37019020601, NC","37019020601","=""37019020601""","22.82"
"37133000103, NC","37133000103","=""37133000103""","23.43"
"37141920501, NC","37141920501","=""37141920501""","23.33"
